z_q0,z_q1,z_q2,z_q3,z_q4,z_q5,z_q6,z_q7,z_q8,z_q9,z_q10,z_q11,z_q12,z_q13,z_q14,z_q15,z_q16,z_q17,z_q18,z_q19,z_q20
3.593978519055478563e-04,6.191953036948166789e-03,-4.918312569611357418e-03,-1.055773886766961812e-03,4.322953407559464514e-03,5.553277517001976513e-03,-5.901094552907430735e-03,2.920778767296700745e-03,-9.430302138882667301e-03,-3.875645359196176754e-03,-1.498512009660927027e-03,-4.653861408867339747e-03,-3.589633426248129734e-04,-8.764087785968399571e-04,5.138617625286331231e-03,-5.034722578455429545e-03,6.530162859974264489e-03,2.288800805558068724e-03,-4.455317251504764368e-03,3.984109383130486105e-03,-1.112730580252253940e-03
1.825223904260629866e-03,3.630289338099421809e-03,-7.955931348060571971e-05,4.300950854573401191e-03,-3.855663155961381455e-03,-2.721974519360353603e-03,5.563683640233011395e-03,-1.470100218300850496e-03,2.369434792326038236e-03,8.373209871502483841e-04,1.429269844015434304e-03,4.698970934104741703e-04,-2.580654163533419813e-03,3.234441696853379913e-03,3.708778553437226417e-04,-3.550211600971569549e-03,-1.544637949718518635e-03,-3.397684902357803703e-03,-3.469664270145203858e-03,1.017437963095660456e-03,-2.979543828821807488e-03
-2.925233134679659092e-03,3.233575803221748479e-03,1.868999360277597346e-03,-4.567578920207180510e-03,5.689424847571029203e-03,-4.917866858322286414e-03,5.613278259389758995e-03,-4.229892544519043424e-03,-1.666380122776623144e-03,-4.040386070981422106e-03,-3.591457374979378434e-03,-9.955089348683086176e-05,-1.386813179508260014e-03,-1.169214151517278949e-02,1.579854118509643182e-03,4.244226896739957712e-03,-1.715962097653066752e-03,2.324606601879909522e-03,2.680025309513144223e-03,8.163792474586000283e-03,-2.651075382689041613e-03
-3.720781000220242489e-03,-7.070053924022163226e-04,6.591253540302929176e-04,-1.731185519562443518e-03,2.138438421856278960e-04,-1.317166268788185109e-03,-2.207124817205879767e-03,-1.661346352312271547e-03,-2.661540618292368258e-05,-3.024032867812946352e-03,5.775739059434015221e-05,2.634618957150069302e-04,6.310704715911013077e-05,1.704526260513771624e-03,1.278964255142258505e-03,-2.173927233830676587e-03,-6.015275075443404611e-05,-2.346757371906378620e-03,2.262991093907657045e-03,-3.341101057964639132e-03,1.548568425162264502e-03
2.284331092684275741e-03,-4.415733740882573852e-03,4.662482882503303852e-03,3.884843775394435528e-03,1.417461451074480266e-02,2.687035980575433296e-03,9.409536032736941225e-03,-4.872438153954011635e-03,-2.118354026989068342e-03,-1.874352575559522487e-03,-6.760878457082324794e-03,1.200840092028172129e-02,-1.695949506939488025e-02,1.063995129744444443e-03,4.003722928176372924e-03,-9.224684225876937302e-03,3.151075859241496240e-03,6.046677221703382517e-03,1.559934846764801739e-03,-5.314216082582560660e-03,5.656651435457380611e-03
4.618977814858240584e-03,3.520666317798052183e-03,-6.280674588287091329e-04,-2.433107184489570647e-04,2.563439967120261951e-04,-3.077586040896486928e-03,-7.696895444587719542e-04,-5.837759129423839358e-04,5.476774357393609290e-05,1.872153622310718246e-03,9.257223083178247464e-04,3.619105848941678305e-04,-3.913238826341580538e-03,-7.284709954968938452e-04,4.226745640814624089e-03,-1.405754530643352337e-03,-1.448366285808886950e-03,6.963378687359236905e-04,2.148762388215827782e-03,-3.392803665139624593e-03,1.995699150335693197e-03
1.728975180223323027e-03,6.836222140852053417e-04,1.379445275053702014e-03,2.374461936931392299e-03,9.043544882042476533e-04,-5.929969166604455270e-03,1.224275188623772780e-03,1.829672437960841924e-03,-1.522141746476988154e-03,3.093783254046214527e-04,7.148740424140972993e-05,6.970361457376492154e-04,-3.149016358472908183e-03,2.028161839938143023e-03,5.931540516354712363e-03,1.048334849839054322e-03,3.851551955001877858e-03,-3.143911566094414068e-03,-3.292511457608155497e-04,-1.868620115431515998e-03,-7.490028738004327492e-04
-1.452780448646708630e-03,-6.767258427992289133e-03,9.802731282327224391e-04,1.578939291912821730e-04,2.384270148750852747e-03,-1.157881818953146978e-04,-6.634132789929014611e-03,-7.539234633540102017e-04,-1.432323401118277368e-03,2.364629120833783987e-03,-1.153610483855312813e-04,1.154050619811546052e-03,3.982315161453879072e-03,-3.470110405618669937e-03,9.409570421567508246e-04,-2.617123113166883695e-03,5.952201882349844944e-04,-1.704370292333477277e-03,-3.887741999570946960e-03,4.262852004635511293e-05,-2.231589111938601152e-03
3.293752820333123530e-03,-1.048869465860632205e-04,-9.239510819888212267e-04,-1.921212827490873399e-04,2.230197822418390936e-04,1.241226124237528906e-03,4.440125270204569284e-04,5.832185634330325393e-03,4.731621277944490431e-03,-4.704469092168222025e-03,4.122537470900768802e-04,-3.854831030360834042e-03,3.491200751238539117e-03,5.099265376674255116e-04,-6.034180302676194537e-06,8.213909359539721053e-03,-6.907429767003377347e-05,6.155955474525711540e-04,-1.013112551363037298e-03,7.756096890202659935e-06,-2.266108824194161021e-03
-2.785552003654762424e-03,-4.825096953776333158e-03,2.713762046774899697e-03,-1.642734387168380333e-03,-1.307442440788148409e-03,-9.853740537549664225e-04,-5.276705500120802000e-04,-3.202200106335450526e-03,-5.308839252804822308e-06,3.127199168331836962e-03,1.329410498391893347e-03,7.171744264106006024e-03,4.007280656399180886e-03,9.857328423047240305e-04,8.247409580118929273e-04,-2.759544507137503058e-03,-6.000955877809315345e-03,3.107207630932191759e-03,1.413772118451999500e-03,-2.285084550243483316e-03,-2.080973542825399064e-03
-1.718227473480378291e-03,-4.368745586802178296e-04,2.255902523083475140e-04,-1.169930563250095668e-03,1.469635132661855194e-03,3.531974325392699121e-03,-1.120593402877474894e-03,-4.059058318378138894e-03,1.929546228002598654e-03,1.037829587660503905e-03,2.552394471632569301e-04,-5.667805705512531794e-04,-2.472298584887288285e-03,-2.688295718990073475e-03,1.458716275676124816e-03,-4.423337666871096814e-03,-1.589172690764721271e-03,2.162728427043697380e-04,1.009127132957153604e-03,4.469056172486119034e-03,-8.433169700341246276e-04
2.530067044312485532e-03,-3.227601921250281870e-04,-1.560946327023073673e-03,-6.376295928576052562e-03,-6.177293945429816399e-03,-1.065868488076351928e-02,-3.008203137713330415e-03,-1.283609246492881106e-02,-1.317418843022030543e-02,-2.920859959065457952e-04,-1.330565609710858757e-03,-4.726560206342268235e-03,6.124115286463403633e-03,9.908989676242780514e-04,-4.922984526906050082e-06,-2.093820842695317099e-04,3.317906793941679785e-04,-1.771161691723522908e-03,-6.447356671965220887e-03,-5.117151115274034580e-03,-6.214267429082329444e-03
